id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_FR_2002_130588,FR_FR,FR,2002,130588,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_130590,FR_FR,FR,2002,130590,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130619,FR_FR,FR,2002,130619,raccordement,NOM,raccordement,FR,lemmesTempsFR
w_FR_FR_2002_130621,FR_FR,FR,2002,130621,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130699,FR_FR,FR,2002,130699,planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_130701,FR_FR,FR,2002,130701,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130741,FR_FR,FR,2002,130741,spécifiques,ADJ,spécifique,FR,lemmesTempsFR
w_FR_FR_2002_130743,FR_FR,FR,2002,130743,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130775,FR_FR,FR,2002,130775,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_130777,FR_FR,FR,2002,130777,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130816,FR_FR,FR,2002,130816,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_130818,FR_FR,FR,2002,130818,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130834,FR_FR,FR,2002,130834,circulation,NOM,circulation,FR,lemmesTempsFR
w_FR_FR_2002_130836,FR_FR,FR,2002,130836,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131017,FR_FR,FR,2002,131017,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_131019,FR_FR,FR,2002,131019,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131050,FR_FR,FR,2002,131050,lignes,NOM,ligne,FR,lemmesTempsFR
w_FR_FR_2002_131052,FR_FR,FR,2002,131052,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131071,FR_FR,FR,2002,131071,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_131073,FR_FR,FR,2002,131073,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131083,FR_FR,FR,2002,131083,lignes,NOM,ligne,FR,lemmesTempsFR
w_FR_FR_2002_131085,FR_FR,FR,2002,131085,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131130,FR_FR,FR,2002,131130,besoins,NOM,besoin,FR,lemmesTempsFR
w_FR_FR_2002_131132,FR_FR,FR,2002,131132,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131161,FR_FR,FR,2002,131161,circulation,NOM,circulation,FR,lemmesTempsFR
w_FR_FR_2002_131163,FR_FR,FR,2002,131163,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131310,FR_FR,FR,2002,131310,matière,NOM,matière,FR,lemmesTempsFR
w_FR_FR_2002_131312,FR_FR,FR,2002,131312,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131333,FR_FR,FR,2002,131333,planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_131335,FR_FR,FR,2002,131335,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131388,FR_FR,FR,2002,131388,planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_131390,FR_FR,FR,2002,131390,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131450,FR_FR,FR,2002,131450,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_131452,FR_FR,FR,2002,131452,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131472,FR_FR,FR,2002,131472,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_131474,FR_FR,FR,2002,131474,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131488,FR_FR,FR,2002,131488,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_131490,FR_FR,FR,2002,131490,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_131710,FR_FR,FR,2002,131710,global,ADJ,global,FR,lemmesTempsFR
w_FR_FR_2002_131712,FR_FR,FR,2002,131712,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_133430,FR_FR,FR,2002,133430,lignes,NOM,ligne,FR,lemmesTempsFR
w_FR_FR_2002_133432,FR_FR,FR,2002,133432,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_133735,FR_FR,FR,2002,133735,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_133737,FR_FR,FR,2002,133737,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_134612,FR_FR,FR,2002,134612,Planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_134614,FR_FR,FR,2002,134614,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_134656,FR_FR,FR,2002,134656,planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_134658,FR_FR,FR,2002,134658,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_137542,FR_FR,FR,2002,137542,haltes,NOM,halte,FR,lemmesTempsFR
