before,hit,after,lemma,list,n,lang,document,year,canton
kantonalen Ortsbilderfassung ( KOBE ) . Federführung : Kanton ( ADP ) Beteiligte : Gemeinden Termin,Einzugsgebiet,: 2024 Erläuterungen Die Qualitäten der « besonders wertvollen » und « wertvollen » Ortsbilder,Einzugsgebiet,lemmesMotiliteDE,91548,DE,DE_AG,2025,AG
des ISOS ( Art . 11 VISOS ) . Bei der Erfüllung einer Bundesaufgabe ( z,Einzugsgebiete,. B . Neueinzonungen ) kommt das ISOS vollumfänglich direkt zur Anwendung ( insbesondere Art,Einzugsgebiet,lemmesMotiliteDE,91751,DE,DE_AG,2025,AG
. Neueinzonungen ) kommt das ISOS vollumfänglich direkt zur Anwendung ( insbesondere Art . 10 VISOS,Einzugsgebiete,sowie Art . 6 und 7 NHG ) . Die Gemeinden stellen den grundeigentümerverbindlichen Schutz,Einzugsgebiet,lemmesMotiliteDE,91769,DE,DE_AG,2025,AG
) . Die Gemeinden stellen den grundeigentümerverbindlichen Schutz der « besonders wertvollen » und « wertvollen,Einzugsgebiet,» Ortsbildschutzgebiete ( vgl . Anhang A3 ) sowie deren Pflege und ortsbildverträgliche Gestaltung sicher,Einzugsgebiet,lemmesMotiliteDE,91792,DE,DE_AG,2025,AG
Pflege und ortsbildverträgliche Gestaltung sicher . Sie erlassen dafür Schutzzonen und Reglemente und berücksichtigen die Erhaltungsziele,Einzugsgebiet,in ihren Nutzungsplanungen . Der Schutz der Ortsbildschutzgebiete ist auf seine Rechtsgenügsamkeit hin zu überprüfen,Einzugsgebiet,lemmesMotiliteDE,91818,DE,DE_AG,2025,AG
ihren Nutzungsplanungen . Der Schutz der Ortsbildschutzgebiete ist auf seine Rechtsgenügsamkeit hin zu überprüfen und gegebenenfalls,Einzugsgebiet,anzupassen . Abweichungen von den Perimetern und Erhaltungszielen der im Anhang A3 genannten Ortsbildsschutzgebiete sind,Einzugsgebiet,lemmesMotiliteDE,91835,DE,DE_AG,2025,AG
. 10 B Federführung : Gemeinden Beteiligte : Kanton ( ADP ) Termin : im Rahmen,Einzugsgebiete,der nächsten Ortsplanungsrevision Der Schutz erhaltenswerter Ortsbilder ist ein gesetzlicher Auftrag an die Gemeinden (,Einzugsgebiet,lemmesMotiliteDE,91876,DE,DE_AG,2025,AG
im Rahmen der nächsten Ortsplanungsrevision Der Schutz erhaltenswerter Ortsbilder ist ein gesetzlicher Auftrag an die Gemeinden,Einzugsgebiet,( § 10 Abs . 1 TG NHG ) . Dies geschieht in erster Linie,Einzugsgebiet,lemmesMotiliteDE,91890,DE,DE_AG,2025,AG
Abs . 1 TG NHG ) . Dies geschieht in erster Linie durch Ausscheidung von Schutzzonen,Einzugsgebiete,und Reglementen nach Art . 17 Abs . 1 RPG . Die Gemeinden arbeiten bei,Einzugsgebiet,lemmesMotiliteDE,91909,DE,DE_AG,2025,AG
. 17 Abs . 1 RPG . Die Gemeinden arbeiten bei der Überführung der Ortsbildschutzgebiete in,Einzugsgebiet,die kommunalen Planungen mit dem ADP zusammen . Als massgebende Grundlage dienen insbesondere die Ortsbildbeschriebe,Einzugsgebiet,lemmesMotiliteDE,91929,DE,DE_AG,2025,AG
