id,document,canton,year,n,form,depos,delemma,lang,list
w_DE_ZG_2004_18393,DE_ZG,ZG,2004,18393,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_23941,DE_ZG,ZG,2004,23941,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_34542,DE_ZG,ZG,2004,34542,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_38768,DE_ZG,ZG,2004,38768,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2025_6227,DE_ZG,ZG,2025,6227,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2025_11878,DE_ZG,ZG,2025,11878,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_6953,DE_BE,BE,2008,6953,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_7155,DE_BE,BE,2008,7155,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_9297,DE_BE,BE,2008,9297,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_13117,DE_BE,BE,2008,13117,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_14363,DE_BE,BE,2008,14363,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_15218,DE_BE,BE,2008,15218,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_15248,DE_BE,BE,2008,15248,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_21053,DE_BE,BE,2008,21053,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_21083,DE_BE,BE,2008,21083,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_23116,DE_BE,BE,2008,23116,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_30589,DE_BE,BE,2008,30589,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_43908,DE_BE,BE,2008,43908,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_46759,DE_BE,BE,2008,46759,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_48651,DE_BE,BE,2008,48651,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_48662,DE_BE,BE,2008,48662,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_49677,DE_BE,BE,2008,49677,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_57681,DE_BE,BE,2008,57681,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_57699,DE_BE,BE,2008,57699,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_57797,DE_BE,BE,2008,57797,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_57844,DE_BE,BE,2008,57844,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_57867,DE_BE,BE,2008,57867,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_58758,DE_BE,BE,2008,58758,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_59354,DE_BE,BE,2008,59354,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_60433,DE_BE,BE,2008,60433,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_64243,DE_BE,BE,2008,64243,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2008_64276,DE_BE,BE,2008,64276,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_6913,DE_BE,BE,2002,6913,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_7115,DE_BE,BE,2002,7115,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_9257,DE_BE,BE,2002,9257,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BE_2002_12629,DE_BE,BE,2002,12629,Kosten,NN,Kosten,DE,lemmesTempsDE
